Freq.	V(vout)
2.69153480392690e+01	(1.04955529474531e+01dB,-8.14238222188201e+01°)
2.75422870333815e+01	(1.03932101907837e+01dB,-9.01063189473972e+01°)
2.81838293126444e+01	(1.00907496805253e+01dB,-9.87840349192368e+01°)
2.88403150312659e+01	(9.60140770336434e+00dB,-1.07080737282186e+02°)
2.95120922666637e+01	(8.95903553054326e+00dB,-1.14711158292343e+02°)
3.01995172040200e+01	(8.20646569563541e+00dB,-1.21522501594845e+02°)
3.09029543251358e+01	(7.38469273333915e+00dB,-1.27481821919993e+02°)
3.16227766016837e+01	(6.52691225616926e+00dB,-1.32636133474842e+02°)
3.23593656929627e+01	(5.65713884912704e+00dB,-1.37072389841695e+02°)
3.31131121482590e+01	(4.79135532638327e+00dB,-1.40889430584712e+02°)
3.38844156139201e+01	(3.93945780005767e+00dB,-1.44182377950536e+02°)
3.46736850452530e+01	(3.10709631614737e+00dB,-1.47035748109286e+02°)
3.54813389233574e+01	(2.29711191612151e+00dB,-1.49521529628365e+02°)
3.63078054770100e+01	(1.51055818024171e+00dB,-1.51699676197733e+02°)
3.71535229097171e+01	(7.47390527684202e-01dB,-1.53619561102177e+02°)
3.80189396320559e+01	(6.91693057365249e-03dB,-1.55321662379282e+02°)
3.89045144994279e+01	(-7.11913545871118e-01dB,-1.56839153242413e+02°)
3.98107170553495e+01	(-1.41032915850888e+00dB,-1.58199279253453e+02°)
4.07380277804111e+01	(-2.08962322518894e+00dB,-1.59424500565267e+02°)
4.16869383470333e+01	(-2.75108631682726e+00dB,-1.60533418011028e+02°)
4.26579518801591e+01	(-3.39596673237172e+00dB,-1.61541515183491e+02°)
4.36515832240164e+01	(-4.02544883273728e+00dB,-1.62461749922458e+02°)
4.46683592150961e+01	(-4.64064254365852e+00dB,-1.63305025130928e+02°)
4.57088189614873e+01	(-5.24257974459968e+00dB,-1.64080563959866e+02°)
4.67735141287196e+01	(-5.83221480796168e+00dB,-1.64796209594880e+02°)
4.78630092322636e+01	(-6.41042754663741e+00dB,-1.65458665685182e+02°)
4.89778819368444e+01	(-6.97802746678989e+00dB,-1.66073690002474e+02°)
5.01187233627270e+01	(-7.53575863372380e+00dB,-1.66646251160309e+02°)
5.12861383991362e+01	(-8.08430472321309e+00dB,-1.67180656059990e+02°)
5.24807460249770e+01	(-8.62429400068475e+00dB,-1.67680654045326e+02°)
5.37031796370250e+01	(-9.15630407963091e+00dB,-1.68149522444705e+02°)
5.49540873857622e+01	(-9.68086638002250e+00dB,-1.68590137170505e+02°)
5.62341325190346e+01	(-1.01984702512230e+01dB,-1.69005031265523e+02°)
5.75439937337154e+01	(-1.07095667509595e+01dB,-1.69396443681048e+02°)
5.88843655355586e+01	(-1.12145720881727e+01dB,-1.69766360100720e+02°)
6.02559586074355e+01	(-1.17138707468643e+01dB,-1.70116547257167e+02°)
6.16595001861479e+01	(-1.22078183129021e+01dB,-1.70448581900881e+02°)
6.30957344480190e+01	(-1.26967440277666e+01dB,-1.70763875354550e+02°)
6.45654229034652e+01	(-1.31809530935038e+01dB,-1.71063694407430e+02°)
6.60693448007593e+01	(-1.36607287523884e+01dB,-1.71349179162558e+02°)
6.76082975391978e+01	(-1.41363341634518e+01dB,-1.71621358336653e+02°)
6.91830970918933e+01	(-1.46080140963845e+01dB,-1.71881162422167e+02°)
7.07945784384134e+01	(-1.50759964615647e+01dB,-1.72129435048274e+02°)
7.24435960074986e+01	(-1.55404936932098e+01dB,-1.72366942818942e+02°)
7.41310241300914e+01	(-1.60017040009617e+01dB,-1.72594383858694e+02°)
7.58577575029180e+01	(-1.64598125036390e+01dB,-1.72812395257990e+02°)
7.76247116628688e+01	(-1.69149922574357e+01dB,-1.73021559578539e+02°)
7.94328234724277e+01	(-1.73674051895241e+01dB,-1.73222410552938e+02°)
8.12830516164095e+01	(-1.78172029468255e+01dB,-1.73415438091685e+02°)
8.31763771102667e+01	(-1.82645276686454e+01dB,-1.73601092692983e+02°)
8.51138038202372e+01	(-1.87095126909123e+01dB,-1.73779789336125e+02°)
8.70963589956076e+01	(-1.91522831889091e+01dB,-1.73951910927072e+02°)
8.91250938133741e+01	(-1.95929567646338e+01dB,-1.74117811354709e+02°)
9.12010839355905e+01	(-2.00316439842532e+01dB,-1.74277818207706e+02°)
9.33254300796986e+01	(-2.04684488705219e+01dB,-1.74432235194814e+02°)
9.54992586021431e+01	(-2.09034693545129e+01dB,-1.74581344305364e+02°)
9.77237220955805e+01	(-2.13367976905411e+01dB,-1.74725407741651e+02°)
9.99999999999995e+01	(-2.17685208377477e+01dB,-1.74864669650596e+02°)
1.02329299228075e+02	(-2.21987208114507e+01dB,-1.74999357678358e+02°)
1.04712854805089e+02	(-2.26274750070395e+01dB,-1.75129684368495e+02°)
1.07151930523760e+02	(-2.30548564989080e+01dB,-1.75255848421552e+02°)
1.09647819614318e+02	(-2.34809343166636e+01dB,-1.75378035831704e+02°)
1.12201845430196e+02	(-2.39057737006233e+01dB,-1.75496420914085e+02°)
1.14815362149688e+02	(-2.43294363384076e+01dB,-1.75611167234752e+02°)
1.17489755493952e+02	(-2.47519805842623e+01dB,-1.75722428453778e+02°)
1.20226443461741e+02	(-2.51734616625800e+01dB,-1.75830349090688e+02°)
1.23026877081237e+02	(-2.55939318569486e+01dB,-1.75935065220375e+02°)
1.25892541179416e+02	(-2.60134406859296e+01dB,-1.76036705106656e+02°)
1.28824955169313e+02	(-2.64320350666527e+01dB,-1.76135389779841e+02°)
1.31825673855640e+02	(-2.68497594672112e+01dB,-1.76231233563897e+02°)
1.34896288259165e+02	(-2.72666560487561e+01dB,-1.76324344558246e+02°)
1.38038426460288e+02	(-2.76827647980966e+01dB,-1.76414825078597e+02°)
1.41253754462275e+02	(-2.80981236515505e+01dB,-1.76502772060784e+02°)
1.44543977074592e+02	(-2.85127686107143e+01dB,-1.76588277431132e+02°)
1.47910838816820e+02	(-2.89267338507679e+01dB,-1.76671428446500e+02°)
1.51356124843620e+02	(-2.93400518218736e+01dB,-1.76752308006820e+02°)
1.54881661891247e+02	(-2.97527533441809e+01dB,-1.76830994942660e+02°)
1.58489319246110e+02	(-3.01648676969041e+01dB,-1.76907564280075e+02°)
1.62181009735892e+02	(-3.05764227019026e+01dB,-1.76982087484787e+02°)
1.65958690743755e+02	(-3.09874448021556e+01dB,-1.77054632687518e+02°)
1.69824365246173e+02	(-3.13979591354910e+01dB,-1.77125264892147e+02°)
1.73780082874936e+02	(-3.18079896039012e+01dB,-1.77194046168154e+02°)
1.77827941003891e+02	(-3.22175589387481e+01dB,-1.77261035828725e+02°)
1.81970085860997e+02	(-3.26266887621388e+01dB,-1.77326290595715e+02°)
1.86208713666286e+02	(-3.30353996447288e+01dB,-1.77389864752583e+02°)
1.90546071796323e+02	(-3.34437111601926e+01dB,-1.77451810286293e+02°)
1.94984459975803e+02	(-3.38516419365785e+01dB,-1.77512177019094e+02°)
1.99526231496887e+02	(-3.42592097047535e+01dB,-1.77571012730992e+02°)
2.04173794466952e+02	(-3.46664313441241e+01dB,-1.77628363273680e+02°)
2.08929613085403e+02	(-3.50733229258068e+01dB,-1.77684272676594e+02°)
2.13796208950222e+02	(-3.54798997534110e+01dB,-1.77738783245725e+02°)
2.18776162394954e+02	(-3.58861764015810e+01dB,-1.77791935655751e+02°)
2.23872113856832e+02	(-3.62921667524379e+01dB,-1.77843769036007e+02°)
2.29086765276776e+02	(-3.66978840300488e+01dB,-1.77894321050775e+02°)
2.34422881531991e+02	(-3.71033408330432e+01dB,-1.77943627974309e+02°)
2.39883291901947e+02	(-3.75085491654889e+01dB,-1.77991724761012e+02°)
2.45470891568501e+02	(-3.79135204661288e+01dB,-1.78038645111116e+02°)
2.51188643150956e+02	(-3.83182656360781e+01dB,-1.78084421532201e+02°)
2.57039578276885e+02	(-3.87227950650696e+01dB,-1.78129085396859e+02°)
2.63026799189536e+02	(-3.91271186563325e+01dB,-1.78172666996786e+02°)
2.69153480392690e+02	(-3.95312458501831e+01dB,-1.78215195593561e+02°)
2.75422870333815e+02	(-3.99351856464002e+01dB,-1.78256699466340e+02°)
2.81838293126443e+02	(-4.03389466254548e+01dB,-1.78297205956702e+02°)
2.88403150312659e+02	(-4.07425369686575e+01dB,-1.78336741510825e+02°)
2.95120922666637e+02	(-4.11459644772847e+01dB,-1.78375331719205e+02°)
3.01995172040200e+02	(-4.15492365907388e+01dB,-1.78413001354063e+02°)
3.09029543251357e+02	(-4.19523604037975e+01dB,-1.78449774404616e+02°)
3.16227766016836e+02	(-4.23553426829989e+01dB,-1.78485674110350e+02°)
3.23593656929626e+02	(-4.27581898822116e+01dB,-1.78520722992437e+02°)
3.31131121482589e+02	(-4.31609081574326e+01dB,-1.78554942883410e+02°)
3.38844156139200e+02	(-4.35635033808541e+01dB,-1.78588354955222e+02°)
3.46736850452529e+02	(-4.39659811542380e+01dB,-1.78620979745794e+02°)
3.54813389233573e+02	(-4.43683468216353e+01dB,-1.78652837184140e+02°)
3.63078054770099e+02	(-4.47706054814833e+01dB,-1.78683946614183e+02°)
3.71535229097170e+02	(-4.51727619981147e+01dB,-1.78714326817325e+02°)
3.80189396320558e+02	(-4.55748210127078e+01dB,-1.78743996033863e+02°)
3.89045144994278e+02	(-4.59767869537073e+01dB,-1.78772971983321e+02°)
3.98107170553494e+02	(-4.63786640467421e+01dB,-1.78801271883766e+02°)
4.07380277804110e+02	(-4.67804563240667e+01dB,-1.78828912470172e+02°)
4.16869383470332e+02	(-4.71821676335497e+01dB,-1.78855910011889e+02°)
4.26579518801589e+02	(-4.75838016472326e+01dB,-1.78882280329280e+02°)
4.36515832240163e+02	(-4.79853618694801e+01dB,-1.78908038809562e+02°)
4.46683592150960e+02	(-4.83868516447431e+01dB,-1.78933200421915e+02°)
4.57088189614872e+02	(-4.87882741649527e+01dB,-1.78957779731892e+02°)
4.67735141287195e+02	(-4.91896324765642e+01dB,-1.78981790915179e+02°)
4.78630092322635e+02	(-4.95909294872689e+01dB,-1.79005247770736e+02°)
4.89778819368442e+02	(-4.99921679723883e+01dB,-1.79028163733362e+02°)
5.01187233627268e+02	(-5.03933505809686e+01dB,-1.79050551885714e+02°)
5.12861383991361e+02	(-5.07944798415876e+01dB,-1.79072424969817e+02°)
5.24807460249769e+02	(-5.11955581678912e+01dB,-1.79093795398079e+02°)
5.37031796370249e+02	(-5.15965878638690e+01dB,-1.79114675263866e+02°)
5.49540873857620e+02	(-5.19975711288844e+01dB,-1.79135076351632e+02°)
5.62341325190345e+02	(-5.23985100624706e+01dB,-1.79155010146650e+02°)
5.75439937337152e+02	(-5.27994066689018e+01dB,-1.79174487844361e+02°)
5.88843655355584e+02	(-5.32002628615536e+01dB,-1.79193520359356e+02°)
6.02559586074353e+02	(-5.36010804670596e+01dB,-1.79212118334022e+02°)
6.16595001861477e+02	(-5.40018612292760e+01dB,-1.79230292146860e+02°)
6.30957344480188e+02	(-5.44026068130627e+01dB,-1.79248051920505e+02°)
6.45654229034650e+02	(-5.48033188078893e+01dB,-1.79265407529448e+02°)
6.60693448007591e+02	(-5.52039987312747e+01dB,-1.79282368607494e+02°)
6.76082975391976e+02	(-5.56046480320679e+01dB,-1.79298944554961e+02°)
6.91830970918931e+02	(-5.60052680935784e+01dB,-1.79315144545635e+02°)
7.07945784384132e+02	(-5.64058602365613e+01dB,-1.79330977533492e+02°)
7.24435960074984e+02	(-5.68064257220661e+01dB,-1.79346452259211e+02°)
7.41310241300911e+02	(-5.72069657541549e+01dB,-1.79361577256476e+02°)
7.58577575029177e+02	(-5.76074814824948e+01dB,-1.79376360858087e+02°)
7.76247116628685e+02	(-5.80079740048327e+01dB,-1.79390811201887e+02°)
7.94328234724275e+02	(-5.84084443693558e+01dB,-1.79404936236521e+02°)
8.12830516164092e+02	(-5.88088935769453e+01dB,-1.79418743727034e+02°)
8.31763771102664e+02	(-5.92093225833257e+01dB,-1.79432241260309e+02°)
8.51138038202369e+02	(-5.96097323011169e+01dB,-1.79445436250373e+02°)
8.70963589956073e+02	(-6.00101236017930e+01dB,-1.79458335943566e+02°)
8.91250938133738e+02	(-6.04104973175502e+01dB,-1.79470947423581e+02°)
9.12010839355902e+02	(-6.08108542430919e+01dB,-1.79483277616395e+02°)
9.33254300796983e+02	(-6.12111951373305e+01dB,-1.79495333295088e+02°)
9.54992586021428e+02	(-6.16115207250131e+01dB,-1.79507121084562e+02°)
9.77237220955802e+02	(-6.20118316982728e+01dB,-1.79518647466173e+02°)
9.99999999999991e+02	(-6.24121287181099e+01dB,-1.79529918782271e+02°)
1.02329299228075e+03	(-6.28124124158055e+01dB,-1.79540941240675e+02°)
1.04712854805089e+03	(-6.32126833942714e+01dB,-1.79551720919067e+02°)
1.07151930523760e+03	(-6.36129422293388e+01dB,-1.79562263769336e+02°)
1.09647819614318e+03	(-6.40131894709884e+01dB,-1.79572575621864e+02°)
1.12201845430195e+03	(-6.44134256445254e+01dB,-1.79582662189766e+02°)
1.14815362149687e+03	(-6.48136512517009e+01dB,-1.79592529073094e+02°)
1.17489755493952e+03	(-6.52138667717830e+01dB,-1.79602181763014e+02°)
1.20226443461740e+03	(-6.56140726625798e+01dB,-1.79611625645955e+02°)
1.23026877081237e+03	(-6.60142693614156e+01dB,-1.79620866007748e+02°)
1.25892541179416e+03	(-6.64144572860640e+01dB,-1.79629908037763e+02°)
1.28824955169312e+03	(-6.68146368356387e+01dB,-1.79638756833042e+02°)
1.31825673855640e+03	(-6.72148083914440e+01dB,-1.79647417402451e+02°)
1.34896288259164e+03	(-6.76149723177876e+01dB,-1.79655894670850e+02°)
1.38038426460287e+03	(-6.80151289627571e+01dB,-1.79664193483292e+02°)
1.41253754462274e+03	(-6.84152786589611e+01dB,-1.79672318609270e+02°)
1.44543977074591e+03	(-6.88154217242378e+01dB,-1.79680274747004e+02°)
1.47910838816819e+03	(-6.92155584623317e+01dB,-1.79688066527797e+02°)
1.51356124843619e+03	(-6.96156891635404e+01dB,-1.79695698520465e+02°)
1.54881661891247e+03	(-7.00158141053324e+01dB,-1.79703175235845e+02°)
1.58489319246110e+03	(-7.04159335529373e+01dB,-1.79710501131403e+02°)
1.62181009735891e+03	(-7.08160477599107e+01dB,-1.79717680615955e+02°)
1.65958690743754e+03	(-7.12161569686729e+01dB,-1.79724718054509e+02°)
1.69824365246173e+03	(-7.16162614110249e+01dB,-1.79731617773240e+02°)
1.73780082874936e+03	(-7.20163613086410e+01dB,-1.79738384064632e+02°)
1.77827941003891e+03	(-7.24164568735404e+01dB,-1.79745021192771e+02°)
1.81970085860997e+03	(-7.28165483085373e+01dB,-1.79751533398848e+02°)
1.86208713666285e+03	(-7.32166358076721e+01dB,-1.79757924906843e+02°)
1.90546071796323e+03	(-7.36167195566237e+01dB,-1.79764199929454e+02°)
1.94984459975803e+03	(-7.40167997331036e+01dB,-1.79770362674262e+02°)
1.99526231496886e+03	(-7.44168765072330e+01dB,-1.79776417350162e+02°)
2.04173794466951e+03	(-7.48169500419042e+01dB,-1.79782368174092e+02°)
2.08929613085402e+03	(-7.52170204931257e+01dB,-1.79788219378074e+02°)
2.13796208950221e+03	(-7.56170880103535e+01dB,-1.79793975216598e+02°)
2.18776162394953e+03	(-7.60171527368069e+01dB,-1.79799639974377e+02°)
2.23872113856832e+03	(-7.64172148097728e+01dB,-1.79805217974506e+02°)
2.29086765276775e+03	(-7.68172743608953e+01dB,-1.79810713587053e+02°)
2.34422881531990e+03	(-7.72173315164546e+01dB,-1.79816131238121e+02°)
2.39883291901947e+03	(-7.76173863976333e+01dB,-1.79821475419412e+02°)
2.45470891568501e+03	(-7.80174391207724e+01dB,-1.79826750698338e+02°)
2.51188643150955e+03	(-7.84174897976159e+01dB,-1.79831961728724e+02°)
2.57039578276884e+03	(-7.88175385355460e+01dB,-1.79837113262136e+02°)
2.63026799189535e+03	(-7.92175854378086e+01dB,-1.79842210159896e+02°)
2.69153480392689e+03	(-7.96176306037288e+01dB,-1.79847257405826e+02°)
2.75422870333814e+03	(-8.00176741289191e+01dB,-1.79852260119786e+02°)
2.81838293126442e+03	(-8.04177161054775e+01dB,-1.79857223572050e+02°)
2.88403150312658e+03	(-8.08177566221790e+01dB,-1.79862153198599e+02°)
2.95120922666635e+03	(-8.12177957646580e+01dB,-1.79867054617396e+02°)
3.01995172040198e+03	(-8.16178336155845e+01dB,-1.79871933645700e+02°)
3.09029543251356e+03	(-8.20178702548320e+01dB,-1.79876796318521e+02°)
3.16227766016835e+03	(-8.24179057596389e+01dB,-1.79881648908279e+02°)
3.23593656929625e+03	(-8.28179402047635e+01dB,-1.79886497945769e+02°)
